contact_id,first_name,last_name,email,job_title,hubspot_company_id,lifecycle_stage,create_date
500000,Sarah,Bernard,sarah.bernard@acumed.com,Post-Market Surveillance Manager,1000000,customer,2025-10-03 05:02:36
500001,Hannah,Lange,hannah.lange@acumed.com,Director Regulatory Affairs,1000000,customer,2025-10-10 15:20:33
500011,Yasmin,Schulz,yasmin.schulz@acumed.com,QA/RA Engineer,1000000,customer,2025-06-04 02:14:01
500019,Sophie,Lehmann,sophie.lehmann@biovance.com,Compliance Officer,1000106,customer,2025-09-04 05:31:53
500027,Florian,Zimmermann,florian.zimmermann@biovance.com,Head of Quality Management,1000106,customer,2025-09-17 21:58:25
500031,Julia,Neumann,julia.neumann@biovance.com,Technical Documentation Specialist,1000106,customer,2025-06-30 04:32:42
500035,Daniel,Bianchi,daniel.bianchi@clearpath.com,Head of Quality Management,1000379,customer,2025-01-07 00:25:45
500040,Thomas,Peters,thomas.peters@clearpath.com,Senior Regulatory Consultant,1000379,customer,2024-10-12 08:12:22
500043,Marie,Lopez,marie.lopez@clearpath.com,Product Manager,1000379,customer,2024-08-07 17:31:51
500044,Simon,Jansen,simon.jansen@clearpath.com,Risk Management Engineer,1000379,customer,2024-12-18 03:50:04
500046,Andreas,Martin,andreas.martin@clearpath.com,CEO,1000379,customer,2024-12-14 00:41:12
500048,Rosa,Maier,rosa.maier@dentalpro.co,Director Regulatory Affairs,1000486,customer,2025-10-04 04:13:33
500055,Felix,Schroeder,felix.schroeder@dentalpro.co,COO,1000486,customer,2025-09-18 05:27:40
500056,Sophie,Fischer,sophie.fischer@dentalpro.co,COO,1000486,customer,2025-07-04 13:59:03
500060,Yasmin,Meyer,yasmin.meyer@dentalpro.co,Head of Regulatory Affairs,1000486,customer,2025-06-30 16:55:33
500066,Andreas,Williams,andreas.williams@evomed.co,Director Regulatory Affairs,1000636,customer,2025-08-05 06:17:15
500069,Clara,Zimmermann,clara.zimmermann@evomed.co,Technical Documentation Specialist,1000636,customer,2025-11-18 00:59:04
500072,Amelie,Pedersen,amelie.pedersen@evomed.co,Head of Regulatory Affairs,1000636,customer,2025-08-29 08:23:20
500074,Quentin,Wolf,quentin.wolf@flexisurg.io,Risk Management Engineer,1000807,customer,2025-03-05 06:44:00
500084,Tim,Huber,tim.huber@flexisurg.io,CEO,1000807,customer,2024-10-26 00:01:12
500088,Tanja,Becker,tanja.becker@flexisurg.io,Senior Regulatory Consultant,1000807,customer,2024-10-14 13:58:13
500098,Elena,Becker,elena.becker@genomatech.com,Technical Documentation Specialist,1000994,customer,2024-12-12 19:16:34
500108,Julia,Schmidt,julia.schmidt@genomatech.com,Compliance Officer,1000994,customer,2024-11-05 22:49:50
500111,Stefan,Huber,stefan.huber@genomatech.com,COO,1000994,customer,2024-07-15 11:32:35
500115,Lena,Scholz,lena.scholz@genomatech.com,Regulatory Specialist,1000994,customer,2024-08-17 21:58:52
500124,Xenia,Weber,xenia.weber@genomatech.com,Risk Management Engineer,1000994,customer,2025-01-02 19:29:20
500133,Sarah,Rossi,sarah.rossi@genomatech.com,Technical Documentation Specialist,1000994,customer,2024-07-18 20:37:45
500134,Yasmin,Lehmann,yasmin.lehmann@healthbridge.com,Head of Regulatory Affairs,1001191,customer,2025-02-11 14:44:28
500140,Elena,Werner,elena.werner@healthbridge.com,VP Quality & Regulatory,1001191,customer,2025-02-09 08:38:09
500150,Michael,Lange,michael.lange@healthbridge.com,COO,1001191,customer,2025-01-20 23:18:05
500159,Vera,Williams,vera.williams@healthbridge.com,Head of Quality Management,1001191,customer,2025-01-28 11:21:25
500167,Emma,Richter,emma.richter@healthbridge.com,Regulatory Specialist,1001191,customer,2025-05-23 00:38:31
500175,Clara,Zimmermann,clara.zimmermann@healthbridge.com,Clinical Affairs Manager,1001191,customer,2025-02-02 05:50:42
500176,Uwe,Krueger,uwe.krueger@healthbridge.com,Risk Management Engineer,1001191,customer,2025-03-30 17:25:45
500184,Quentin,Schneider,quentin.schneider@healthbridge.com,Clinical Affairs Manager,1001191,customer,2025-05-12 13:11:19
500189,Thomas,Fischer,thomas.fischer@innocare.eu,CTO,1001477,customer,2025-08-13 12:10:23
500194,Hans,Lehmann,hans.lehmann@innocare.eu,Regulatory Affairs Associate,1001477,customer,2025-05-28 07:33:16
500202,Yasmin,Lange,yasmin.lange@innocare.eu,Technical Documentation Specialist,1001477,customer,2025-09-01 22:24:37
500210,Xenia,Martin,xenia.martin@innocare.eu,Regulatory Specialist,1001477,customer,2025-04-27 16:09:28
500217,Felix,Huber,felix.huber@innocare.eu,QA/RA Engineer,1001477,customer,2025-06-27 02:31:22
500226,Uwe,Wagner,uwe.wagner@jointflex.com,CEO,1001737,customer,2025-04-13 14:38:01
500231,Lisa,Lopez,lisa.lopez@jointflex.com,QA/RA Engineer,1001737,customer,2025-08-06 09:02:23
500239,Wolfgang,Maier,wolfgang.maier@jointflex.com,COO,1001737,customer,2025-04-06 19:42:37
500249,Max,Braun,max.braun@jointflex.com,Quality Manager,1001737,customer,2025-07-23 07:14:36
500251,Hannah,Johnson,hannah.johnson@jointflex.com,Post-Market Surveillance Manager,1001737,customer,2025-06-11 07:33:51
500254,Jonas,Lopez,jonas.lopez@kinemed.com,Head of Quality Management,1001848,customer,2025-02-05 02:09:30
500255,Ingrid,Weber,ingrid.weber@kinemed.com,COO,1001848,customer,2024-11-17 12:18:52
500261,Yasmin,Bianchi,yasmin.bianchi@kinemed.com,Director Regulatory Affairs,1001848,customer,2024-10-11 20:43:08
500269,Xenia,Maier,xenia.maier@lifelink.de,Director Regulatory Affairs,1002045,customer,2025-02-15 08:44:15
500278,Xenia,Fuchs,xenia.fuchs@lifelink.de,Product Manager,1002045,customer,2024-11-26 14:21:28
500282,Hans,Schmidt,hans.schmidt@lifelink.de,Technical Documentation Specialist,1002045,customer,2025-02-10 10:19:41
500291,Yasmin,Rossi,yasmin.rossi@lifelink.de,Product Manager,1002045,customer,2024-10-22 04:56:24
500299,Nina,Anderson,nina.anderson@lifelink.de,Technical Documentation Specialist,1002045,customer,2024-11-21 09:54:17
500303,Ingrid,Weber,ingrid.weber@medcore.co,Head of Quality Management,1002316,customer,2024-12-11 05:54:38
500305,Daniel,Hartmann,daniel.hartmann@medcore.co,Regulatory Specialist,1002316,customer,2025-01-19 02:09:14
500314,Julia,Zimmermann,julia.zimmermann@medcore.co,QA/RA Engineer,1002316,customer,2025-02-28 07:38:20
500317,Sarah,Schroeder,sarah.schroeder@novascan.co,Clinical Affairs Manager,1002602,customer,2025-05-01 17:08:05
500320,Petra,De Vries,petra.de vries@novascan.co,Risk Management Engineer,1002602,customer,2025-04-14 14:23:45
500330,Xenia,Kaiser,xenia.kaiser@novascan.co,Risk Management Engineer,1002602,customer,2025-09-01 12:40:03
500333,Florian,Meyer,florian.meyer@novascan.co,Regulatory Affairs Associate,1002602,customer,2025-04-21 16:52:51
500341,Tim,Scholz,tim.scholz@novascan.co,Regulatory Specialist,1002602,customer,2025-08-26 07:38:23
500344,Simon,Weber,simon.weber@orthogen.eu,Post-Market Surveillance Manager,1002758,customer,2024-12-21 08:28:18
500350,Ingrid,Rossi,ingrid.rossi@orthogen.eu,QA/RA Engineer,1002758,customer,2025-01-24 12:29:30
500353,Max,Dubois,max.dubois@orthogen.eu,Quality Manager,1002758,customer,2025-03-14 06:51:32
500355,Tim,Schulz,tim.schulz@orthogen.eu,QA/RA Engineer,1002758,customer,2024-11-25 02:23:59
500361,Andreas,Schroeder,andreas.schroeder@orthogen.eu,Post-Market Surveillance Manager,1002758,customer,2024-12-02 15:24:05
